RR,1
696C,108688,1633440,-79,2144,0
6E02,108694,1633446,-80,745,0
6E49,108699,0,0,ERR,1
695F,108704,1633456,-82,3319,0
696C,108710,1633462,-80,2153,0
6E02,108716,1633468,-81,698,0
6E49,108722,1633473,-80,1591,0
695F,108727,1633479,-82,3301,0
696C,108733,1633485,-80,2181,0
6E02,108740,0,0,ERR,1
6E49,108745,1633497,-80,1638,0
695F,108751,1633503,-81,3305,0
696C,108757,1633509,-80,2191,0
6E02,108763,1633514,-80,736,0
6E49,108768,1633520,-81,1582,0
695F,108774,1633526,-81,3361,0
696C,108779,0,0,ERR,1
6E02,108784,0,0,ERR,1
6E49,108790,1633541,-81,1549,0
695F,108795,1633547,-81,3333,0
696C,108801,1633553,-80,2172,0
6E02,108807,1633559,-80,754,0
6E49,108813,1633564,-80,1568,0
695F,108818,1633570,-82,3314,0
696C,108824,1633576,-80,2172,0
6E02,108830,1633582,-80,689,0
6E49,108835,1633587,-80,1568,0
695F,108841,1633593,-81,3324,0
696C,108847,1633599,-80,2181,0
6E02,108853,1633604,-80,679,0
6E49,108858,1633610,-81,1634,0
695F,108864,1633616,-81,3333,0
696C,108870,1633622,-80,2172,0
6E02,108875,0,0,ERR,1
6E49,108880,1633632,-80,1624,0
695F,108886,1633638,-82,3306,0
696C,108892,1633644,-80,2172,0
6E02,108898,1633649,-81,717,0
6E49,108903,1633655,-80,1587,0
695F,108909,1633661,-81,3306,0
696C,108915,1633667,-80,2191,0
6E02,108920,0,0,ERR,1
6E49,108926,1633677,-80,1643,0
695F,108931,0,0,ERR,1
696C,108936,1633688,-80,2144,0
6E02,108942,1633694,-80,670,0
6E49,108948,1633699,-80,1577,0
695F,108953,1633705,-82,3306,0
696C,108959,1633711,-80,2181,0
6E02,108965,1633717,-81,698,0
6E49,108971,1633722,-81,1596,0
695F,108976,1633728,-82,3314,0
696C,108982,1633734,-80,2153,0
6E02,108988,1633740,-80,642,0
6E49,108993,1633745,-81,1596,0
695F,108999,1633751,-81,3324,0
696C,109005,1633757,-80,2200,0
6E02,109011,1633762,-80,642,0
6E49,109016,1633768,-80,1577,0
695F,109022,1633774,-82,3296,0
696C,109028,1633780,-80,2144,0
6E02,109034,1633785,-80,689,0
6E49,109039,1633791,-80,1559,0
695F,109045,1633797,-82,3296,0
696C,109051,1633802,-80,2209,0
6E02,109056,1633808,-81,689,0
6E49,109062,1633814,-80,1568,0
695F,109068,1633820,-82,3287,0
696C,109074,1633825,-80,2172,0
6E02,109079,1633831,-81,670,0
6E49,109085,1633837,-81,1577,0
695F,109091,1633842,-82,3287,0
696C,109096,1633848,-80,2153,0
6E02,109102,1633854,-81,707,0
6E49,109108,1633860,-80,1577,0
695F,109114,1633865,-81,3277,0
696C,109119,1633871,-80,2200,0
6E02,109125,1633877,-80,726,0
6E49,109131,1633882,-80,1559,0
695F,109136,1633888,-82,3287,0
696C,109142,1633894,-80,2153,0
6E02,109149,0,0,ERR,1
6E49,109154,1633906,-80,1605,0
695F,109160,1633912,-82,3287,0
696C,109166,1633918,-80,2200,0
6E02,109171,0,0,ERR,1
6E49,109177,1633928,-81,1577,0
695F,109182,1633934,-81,3268,0
696C,109188,1633940,-80,2172,0
6E02,109194,1633945,-80,679,0
6E49,109199,1633951,-80,1559,0
695F,109205,1633957,-82,3296,0
696C,109211,1633963,-80,2144,0
6E02,109216,0,0,ERR,1
6E49,109222,1633973,-80,1596,0
695F,109227,1633979,-81,3306,0
696C,109233,1633985,-80,2162,0
6E02,109239,1633991,-80,717,0
6E49,109244,1633996,-80,1615,0
695F,109250,1634002,-81,3296,0
696C,109256,1634008,-80,2191,0
6E02,109262,0,0,ERR,1
6E49,109267,1634018,-81,1577,0
695F,109272,1634024,-81,3306,0
696C,109278,1634030,-80,2144,0
6E02,109284,1634036,-80,698,0
6E49,109290,1634041,-80,1587,0
695F,109295,1634047,-81,3296,0
696C,109301,1634053,-80,2153,0
6E02,109307,0,0,ERR,1
6E49,109312,1634063,-80,1587,0
695F,109318,1634069,-81,3287,0
696C,109323,1634075,-80,2191,0
6E02,109329,1634081,-80,717,0
6E49,109335,1634086,-80,1568,0
695F,109340,1634092,-81,3287,0
696C,109346,1634098,-80,2172,0
6E02,109352,1634104,-80,698,0
6E49,109358,1634109,-80,1587,0
695F,109363,1634115,-81,3296,0
696C,109369,1634121,-80,2181,0
6E02,109375,0,0,ERR,1
6E49,109380,1634131,-80,1587,0
695F,109385,1634137,-82,3259,0
696C,109391,1634143,-80,2162,0
6E02,109397,1634149,-80,773,0
6E49,109403,1634154,-80,1549,0
695F,109408,1634160,-81,3306,0
696C,109414,1634166,-80,2181,0
6E02,109420,1634171,-80,726,0
6E49,109425,1634177,-80,1643,0
695F,109431,1634183,-81,3305,0
696C,109437,1634189,-80,2219,0
6E02,109443,0,0,ERR,1
6E49,109448,1634199,-80,1568,0
695F,109453,0,0,ERR,1
696C,109458,1634210,-80,2200,0
6E02,109464,1634216,-81,726,0
6E49,109470,1634221,-81,1596,0
695F,109476,1634227,-81,3306,0
696C,109481,1634233,-80,2191,0
6E02,109487,1634239,-80,736,0
6E49,109493,1634244,-80,1596,0
695F,109498,1634250,-81,3277,0
696C,109504,1634256,-80,2228,0
6E02,109511,0,0,ERR,1
6E49,109516,1634268,-81,1596,0
695F,109522,1634274,-81,3306,0
696C,109528,1634280,-80,2172,0
6E02,109534,1634285,-80,679,0
6E49,109539,1634291,-80,1587,0
695F,109545,1634297,-81,3314,0
696C,109551,1634302,-80,2172,0
6E02,109557,1634308,-80,717,0
6E49,109562,1634314,-80,1587,0
695F,109568,1634320,-81,3314,0
696C,109574,1634325,-80,2209,0
6E02,109579,1634331,-80,782,0
6E49,109585,1634337,-80,1559,0
695F,109591,1634342,-81,3268,0
696C,109597,1634348,-80,2181,0
6E02,109602,1634354,-80,717,0
6E49,109608,1634360,-80,1596,0
695F,109614,1634365,-81,3314,0
696C,109619,1634371,-80,2209,0
6E02,109625,1634377,-80,736,0
6E49,109631,1634382,-80,1605,0
