Æ÷{+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&eì¨+)%&†C‘î%í¯Q«$'C½•©eí¨+-%&C¨•«åíª+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&list size: 4
Calibration result:
Anchors found: 4
ANCHOR,0x6E49,1604,963,1900
ANCHOR,0x695F,539,4778,650
ANCHOR,0x696C,2054,-1132,1900
ANCHOR,0x6E02,3182,1316,1400
Starting positioning: 
12313,2298,1465,987,0
12326,2351,1468,968,0
12339,2336,1475,984,0
12352,2353,1481,1014,0
12365,2368,1457,1016,0
12378,2357,1458,991,0
12391,2337,1445,1001,0
12404,2303,1438,938,0
12417,2335,1469,976,0
12430,2316,1490,998,0
12443,2311,1470,979,0
12456,2358,1454,993,0
12468,2344,1452,1003,0
12481,2328,1444,997,0
12495,2165,1435,1364,0
12508,2321,1457,979,0
12521,2298,1445,950,0
12534,2383,1473,1049,0
12547,2376,1475,1030,0
12560,2137,1432,1363,0
12575,2356,1453,990,0
12590,2323,1472,974,0
12603,2337,1465,982,0
12616,2376,1480,1020,0
12629,2366,1449,1034,0
12642,2360,1485,1002,0
12656,2357,1480,1013,0
12671,2341,1500,1008,0
12684,2351,1484,1016,0
12697,2148,1435,1364,0
12710,2360,1463,980,0
12725,2370,1453,1010,0
12739,2353,1481,1014,0
12751,2350,1454,967,0
12765,2309,1474,968,0
12778,2381,1490,1028,0
12791,2342,1484,998,0
12804,2368,1483,1007,0
12819,2300,1436,928,0
12831,2332,1493,1019,0
12845,2349,1482,1019,0
12858,2317,1442,967,0
12871,2332,1477,994,0
12883,2343,1476,1032,0
12896,2354,1471,1005,0
12910,2315,1438,952,0
12923,2355,1451,1010,0
12936,2349,1461,992,0
12949,2372,1476,1003,0
12961,2352,1473,1051,0
12974,2348,1468,1041,0
12987,2363,1457,1039,0
13000,2351,1466,1009,0
13015,2131,1419,1362,0
13028,2362,1471,1042,0
13039,2317,1433,997,0
13054,2284,1433,950,0
13069,2292,1443,983,0
13080,2313,1466,1022,0
13093,2313,1447,982,0
13109,1311,1171,646,0
13121,2333,1467,991,0
13134,2348,1470,1058,0
13147,2336,1465,1031,0
13160,2346,1455,998,0
13173,2310,1444,1009,0
13186,2108,1401,1371,0
13199,2345,1488,1041,0
13214,2339,1469,1011,0
13227,2338,1454,1017,0
13238,2337,1470,1032,0
13251,2326,1468,1036,0
13266,2350,1457,1031,0
13279,2378,1454,1025,0
13292,ERROR,0xA,,1
13305,2308,1444,1019,0
13318,2371,1487,1064,0
13330,2396,1470,1024,0
13344,2383,1473,1030,0
13357,2304,1457,1015,0
13370,2366,1446,1018,0
13383,2345,1452,1028,0
13398,1309,1185,666,0
13411,2314,1458,975,0
13425,2304,1466,977,0
13438,2298,1461,1006,0
13451,2333,1445,1036,0
13463,2357,1468,1030,0
13476,2341,1461,1038,0
13488,2333,1462,1074,0
13501,2332,1478,1004,0
13514,2341,1457,1068,0
13527,2288,1474,1001,0
13540,2333,1468,1002,0
13553,2355,1464,1025,0
13565,2367,1465,1029,0
13578,2301,1476,1004,0
13589,2330,1471,1044,0
13602,2305,1464,1019,0
13615,2299,1432,959,0
